Code;Libellé;Population municipale 2016;Boulangerie 2017
02201;Coeuvres-et-Valsery;439;1
02203;Coincy;1326;1
02204;Coingt;68;0
02205;Colligis-Crandelain;241;0
02206;Colonfay;80;0
02207;Commenchon;210;0
02208;Concevreux;280;0
02209;Condé-en-Brie;675;1
02210;Condé-sur-Aisne;358;0
02211;Condé-sur-Suippe;279;0
02212;Condren;707;1
02213;Connigis;328;0
02214;Contescourt;61;0
02215;Corbeny;767;1
02216;Corcy;309;0
02217;Coucy-le-Château-Auffrique;1025;1
02218;Coucy-lès-Eppes;623;0
02219;Coucy-la-Ville;218;0
02220;Coulonges-Cohan;436;0
02221;Coupru;154;0
02222;Courbes;30;0
02223;Courboin;299;0
02224;Courcelles-sur-Vesle;355;0
02225;Courchamps;90;0
02226;Courmelles;1813;1
02227;Courmont;140;0
02228;Courtemont-Varennes;329;0
02229;Courtrizy-et-Fussigny;65;0
02230;Couvrelles;188;0
02231;Couvron-et-Aumencourt;928;1
02232;Coyolles;346;0
02233;Cramaille;138;0
02234;Craonne;80;1
02235;Craonnelle;117;0
02236;Crécy-au-Mont;354;0
02237;Crécy-sur-Serre;1496;3
02238;Crépy;1869;2
02239;Crézancy;1225;1
02240;Croix-Fonsomme;253;0
02241;La Croix-sur-Ourcq;108;0
02242;Crouttes-sur-Marne;644;0
02243;Crouy;2900;2
02244;Crupilly;66;0
02245;Cuffies;1796;0
02246;Cugny;601;0
02248;Cuirieux;158;0
02249;Cuiry-Housse;104;0
02250;Cuiry-lès-Chaudardes;74;0
02251;Cuiry-lès-Iviers;28;0
02252;Cuissy-et-Geny;71;0
02253;Cuisy-en-Almont;352;0
02254;Cutry;127;0
02255;Cys-la-Commune;138;0
02256;Dagny-Lambercy;128;0
02257;Dallon;436;0
02258;Dammard;387;0
02259;Dampleux;400;0
02260;Danizy;629;0
02261;Dercy;391;0
02262;Deuillet;219;0
02263;Dhuizel;115;0
02264;Dizy-le-Gros;758;1
02265;Dohis;97;0
02266;Dolignon;50;0
02267;Dommiers;287;0
02268;Domptin;660;0
02269;Dorengt;154;0
02270;Douchy;160;0
02271;Dravegny;137;0
02272;Droizy;74;0
02273;Dury;222;0
02274;Ébouleau;204;0
02275;Effry;329;0
02276;Englancourt;127;0
02277;Épagny;336;0
02278;Éparcy;31;0
02279;Épaux-Bézu;559;1
02280;Épieds;384;0
02281;L'Épine-aux-Bois;263;0
02282;Eppes;416;0
02283;Erlon;282;0
02284;Erloy;93;0
02286;Esquéhéries;858;1
02287;Essigny-le-Grand;1039;1
02288;Essigny-le-Petit;349;0
02289;Essises;422;0
02290;Essômes-sur-Marne;2793;2
02291;Estrées;410;0
02292;Étampes-sur-Marne;1258;0
02293;Étaves-et-Bocquiaux;568;0
02294;Étouvelles;213;0
02295;Étréaupont;868;1
02296;Étreillers;1214;1
02297;Étrépilly;114;0
02298;Étreux;1481;1
02299;Évergnicourt;575;0
02302;Faverolles;313;0
02303;Fayet;664;2
02304;La Fère;2869;3
02305;Fère-en-Tardenois;3098;4
02306;La Ferté-Chevresis;558;0
02307;La Ferté-Milon;2100;2
02308;Fesmy-le-Sart;488;1
02309;Festieux;677;0
02310;Fieulaine;263;0
02311;Filain;130;0
02312;La Flamengrie;1142;0
02313;Flavigny-le-Grand-et-Beaurain;480;0
02315;Flavy-le-Martel;1684;3
02316;Fleury;139;0
02317;Fluquières;222;0
02318;Folembray;1395;1
02319;Fonsomme;477;1
02320;Fontaine-lès-Clercs;259;0
02321;Fontaine-lès-Vervins;926;0
02322;Fontaine-Notre-Dame;391;1
02323;Fontaine-Uterte;127;0
02324;Fontenelle;274;0
02326;Fontenoy;498;0
02327;Foreste;169;0
02328;Fossoy;536;0
02329;Fourdrain;420;0
02330;Francilly-Selency;443;0
02331;Franqueville;116;0
02332;Fresnes-en-Tardenois;268;0
02333;Fresnes-sous-Coucy;160;0
02334;Fresnoy-le-Grand;2938;3
02335;Fressancourt;195;0
02336;Frières-Faillouël;1006;0
02337;Froidestrées;181;0
02338;Froidmont-Cohartille;266;0
02339;Gandelu;689;0
02340;Gauchy;5300;1
02341;Gercy;284;0
02342;Gergny;135;0
02343;Germaine;80;0
02345;Gibercourt;43;0
02346;Gizy;677;0
02347;Gland;452;0
02349;Goudelancourt-lès-Berrieux;55;0
02350;Goudelancourt-lès-Pierrepont;136;0
02351;Goussancourt;120;0
02352;Gouy;562;0
02353;Grandlup-et-Fay;308;0
02354;Grandrieux;87;0
02355;Gricourt;989;1
02356;Grisolles;245;0
02357;Gronard;74;0
02358;Grougis;359;0
02359;Grugies;1337;1
02360;Villeneuve-sur-Aisne;2673;2
02361;Guise;4868;5
02362;Guivry;246;0
02363;Guny;421;1
02364;Guyencourt;251;0
02366;Hannapes;315;0
02367;Happencourt;135;0
02368;Haramont;581;0
02369;Harcigny;244;0
02370;Hargicourt;592;0
02371;Harly;1630;0
02372;Hartennes-et-Taux;383;0
02373;Hary;215;0
02374;Lehaucourt;886;1
02375;Hautevesnes;172;0
02376;Hauteville;162;0
02377;Haution;148;1
02378;La Hérie;150;0
02379;Le Hérie-la-Viéville;233;0
02380;Hinacourt;26;0
02381;Hirson;8985;6
02382;Holnon;1400;2
02383;Homblières;1470;2
02384;Houry;50;0
02385;Housset;152;0
02386;Iron;245;0
02387;Itancourt;1034;1
02388;Iviers;228;0
02389;Jaulgonne;638;1
02390;Jeancourt;273;0
02391;Jeantes;204;0
02392;Joncourt;303;0
02393;Jouaignes;145;0
02395;Jumencourt;150;0
02396;Jumigny;64;0
02397;Jussy;1246;2
02398;Juvigny;274;0
02399;Juvincourt-et-Damary;591;0
02400;Laffaux;149;0
02401;Laigny;197;0
02402;Lanchy;38;0
02403;Landifay-et-Bertaignemont;274;0
02404;Landouzy-la-Cour;185;0
02405;Landouzy-la-Ville;558;0
02406;Landricourt;140;0
02407;Laniscourt;177;0
02408;Laon;25193;21
02409;Lappion;272;1
02410;Largny-sur-Automne;244;0
02411;Latilly;211;0
02412;Launoy;98;0
02413;Laval-en-Laonnois;250;0
02414;Lavaqueresse;203;0
02415;Laversine;160;0
02416;Lemé;436;0
02417;Lempire;93;0
02418;Lerzy;208;0
02419;Leschelle;273;0
02420;Lesdins;832;1
02421;Lesges;100;0
02422;Lesquielles-Saint-Germain;809;1
02423;Leuilly-sous-Coucy;411;1
02424;Leury;107;0
02425;Leuze;171;0
02426;Levergies;549;0
02427;Lhuys;144;0
02428;Licy-Clignon;75;0
02429;Lierval;115;0
02430;Liesse-Notre-Dame;1297;2
02431;Liez;400;0
02432;Limé;186;0
02433;Lislet;227;0
02435;Logny-lès-Aubenton;74;0
02438;Longpont;268;0
02439;Les Septvallons;1181;0
02440;Lor;145;0
02441;Louâtre;203;0
02442;Loupeigne;91;0
02443;Lucy-le-Bocage;190;0
02444;Lugny;109;0
02445;Luzoir;287;0
02446;Ly-Fontaine;123;0
02447;Maast-et-Violaine;147;0
02448;Mâchecourt;122;0
02449;Macogny;77;0
02450;Macquigny;377;1
02451;Magny-la-Fosse;125;0
02452;Maissemy;242;0
02453;Maizy;416;1
02454;La Malmaison;413;0
02455;Malzy;202;0
02456;Manicamp;312;0
02457;Marchais;430;0
02458;Dhuys et Morin-en-Brie;814;0
02459;Marcy;178;0
02460;Marcy-sous-Marle;192;0
02461;Marest-Dampcourt;361;0
02462;Mareuil-en-Dôle;244;0
02463;Marfontaine;84;0
02464;Margival;373;0
02465;Marigny-en-Orxois;484;0
02466;Marizy-Sainte-Geneviève;131;0
02467;Marizy-Saint-Mard;49;0
02468;Marle;2281;2
02469;Marly-Gomont;468;1
02470;Martigny;431;0
02471;Martigny-Courpierre;119;0
02472;Mauregny-en-Haye;423;0
02473;Mayot;209;0
02474;Mennessis;420;0
02476;Mennevret;641;1
02477;Mercin-et-Vaux;965;0
02478;Merlieux-et-Fouquerolles;264;0
02480;Mesbrecourt-Richecourt;305;0
02481;Mesnil-Saint-Laurent;464;0
02482;Meurival;51;0
02483;Mézières-sur-Oise;517;0
02484;Mézy-Moulins;523;0
02485;Missy-aux-Bois;99;0
02486;Missy-lès-Pierrepont;110;0
02487;Missy-sur-Aisne;640;1
02488;Molain;153;0
02489;Molinchart;331;0
02490;Monampteuil;131;0
02491;Monceau-le-Neuf-et-Faucouzy;316;0
02492;Monceau-lès-Leups;476;0
02493;Monceau-le-Waast;216;0
02494;Monceau-sur-Oise;127;0
02495;Mondrepuis;1031;1
02496;Monnes;108;0
02497;Mons-en-Laonnois;1173;1
02498;Montaigu;755;0
02499;Montbavin;45;0
02500;Montbrehain;823;1
02501;Montchâlons;76;0
02502;Montcornet;1337;3
02503;Mont-d'Origny;864;0
02504;Montescourt-Lizerolles;1664;1
02505;Montfaucon;203;0
02506;Montgobert;192;0
02507;Montgru-Saint-Hilaire;33;0
02508;Monthenault;154;0
02509;Monthiers;161;0
02510;Monthurel;152;0
02511;Montigny-en-Arrouaise;297;0
02512;Montigny-l'Allier;276;0
02513;Montigny-le-Franc;146;0
02514;Montigny-Lengrain;695;0
02515;Montigny-lès-Condé;61;0
02516;Montigny-sous-Marle;61;0
02517;Montigny-sur-Crécy;328;0
02518;Montlevon;297;0
02519;Montloué;188;0
02520;Mont-Notre-Dame;738;1
02521;Montreuil-aux-Lions;1373;1
02522;Mont-Saint-Jean;71;0
02523;Mont-Saint-Martin;75;0
